price,city,district,type,listing_type
154900, Košice-Juh,Košice,2 izbový byt,sale
225000, Kráľová pri Senci,Senec,Rodinný dom,sale
218000, Veľké Kostoľany,Piešťany,Rodinný dom,sale
690, Bratislava-Ružinov,Bratislava,2 izbový byt,rent
170000, Valča,Martin,Apartmán,sale
950, Bratislava-Staré Mesto,Bratislava,3 izbový byt,rent
398500, Moravany nad Váhom,Piešťany,Rodinný dom,sale
790000, Bratislava-Záhorská Bystrica,Bratislava,Rodinný dom,sale
790000, Malacky,Malacky,Rodinný dom,sale
284000, Stupava,Malacky,Rodinný dom,sale
277000, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
275000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
890, Senec,Senec,3 izbový byt,rent
148000, Trnava,Trnava,1 izbový byt,sale
255000, Trnava,Trnava,3 izbový byt,sale
127000, Hlohovec,Hlohovec,2 izbový byt,sale
210000, Trnava,Trnava,Rodinný dom,sale
210000, Boleráz,Trnava,Rodinný dom,sale
329000, Bratislava-Dúbravka,Bratislava,3 izbový byt,sale
7083.33, Bratislava-Staré Mesto,Bratislava,Reštaurácia,rent
229990, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
1,Bánovce nad Bebravou,Bánovce,2 izbový byt,sale
269000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
399000,Šenkvice,Pezinok,Rodinný dom,sale
90000, Poprad,Poprad,Pozemok pre rodinné domy,sale
179000, Šamorín,Dunajská,3 izbový byt,sale
150000,Bratislava-Dúbravka,Bratislava,Garsónka,sale
299000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
599000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
799000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
108000, Dunajská Streda,Dunajská,2 izbový byt,sale
600, Galanta,Galanta,Obchodné priestory,rent
150000,Bratislava-Dúbravka,Bratislava,1 izbový byt,sale
281000,Dunajský Klátov,Dunajská,Rodinný dom,sale
270000, Senec,Senec,Orná pôda,sale
359000, Bratislava-Vrakuňa,Bratislava,Rodinný dom,sale
160000,Rajka,,3 izbový byt,sale
139900,,Poprad,3 izbový byt,sale
249990, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
620, Bratislava-Staré Mesto,Bratislava,1 izbový byt,rent
145000, Veľké Úľany,Galanta,3 izbový byt,sale
120, Bratislava-Nové Mesto,Bratislava,Garáž,rent
258000,Seget - Trogir,,3 izbový byt,sale
178000,Malacky,Malacky,3 izbový byt,sale
259000, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
345000, Malacky,Malacky,Rodinný dom,sale
295000, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
749000,Donovaly,Banská,Rodinný dom,sale
165000, Svätý Jur,Pezinok,2 izbový byt,sale
231000, Trnava,Trnava,3 izbový byt,sale
54990, Košice-Sever,Košice,Záhrada,sale
120040, Sládkovičovo,Galanta,2 izbový byt,sale
195000, Bernolákovo,Senec,3 izbový byt,sale
100000, Šaľa,Šaľa,3 izbový byt,sale
275000, Miloslavov,Senec,Rodinný dom,sale
127500, Šaľa,Šaľa,3 izbový byt,sale
99000, Šaľa,Šaľa,3 izbový byt,sale
299000, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
219900, Bratislava-Rača,Bratislava,2 izbový byt,sale
455000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
299000, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
439000, Slovenský Grob,Pezinok,Rodinný dom,sale
319000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
149900, Bratislava-Petržalka,Bratislava,Garsónka,sale
365000, Bratislava-Dúbravka,Bratislava,4 izbový byt,sale
619000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
999000, Bratislava-Nové Mesto,Bratislava,Rodinný dom,sale
1250000, Bratislava-Nové Mesto,Bratislava,Rodinný dom,sale
269000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
